Ticker Name,3-Year BETA,5-Year BETA,10-Year BETA,3-Year Standard Deviation,5-Year Standard Deviation,10-Year Standard Deviation,3-Year Sharpe,5-Year Sharpe,10-Year Sharpe,3-Year Treynor Ratio,5-Year Treynor Ratio,10-Year Treynor Ratio
PMIF.TO,0.33,0.02,0,4.9,5.67,0,-0.25,0.07,0,-4.13,12.74,0
PMIF-U.TO,0.53,0,0,5.17,0,0,-0.1,0,0,-1.25,0,0
XIU.TO,1,0.94,0.94,14.04,15.35,12,0.61,0.45,0.6,8.11,6.35,7.2
VFV.TO,0.95,0.97,0.98,13.9,14.63,12.59,0.66,0.66,1.06,9.18,9.36,13.64
XIC.TO,1,0.99,0.98,13.94,16.02,12.42,0.61,0.42,0.55,8.08,5.75,6.45
CSAV.TO,0,0,0,0.55,0,0,10.93,0,0,0,0,0
XSP.TO,1.18,1.21,1.02,17.94,19.05,15.03,0.46,0.42,0.67,6.03,5.42,9.25
ZCN.TO,1,0.99,0.98,13.95,16.03,12.42,0.61,0.42,0.55,8.08,5.74,6.45
ZEA.TO,1.01,1,0,14.4,13.56,0,0.36,0.25,0,4.26,2.59,0
VUN.TO,0.97,1,1.01,14.06,15.12,12.89,0.59,0.58,0.98,8.06,8.14,12.56
XEF.TO,1,1,1,14.08,13.47,12.08,0.32,0.22,0.5,3.67,2.18,5.47
ZAG.TO,1.04,1.01,0.99,6.32,6.02,5.03,-1.1,-0.24,0.09,-6.75,-1.63,0.32
VCN.TO,1,0.99,0.99,14,16.12,12.56,0.64,0.41,0.53,8.47,5.59,6.18
PSA.TO,0,0,0,0.56,0.45,0,14.3,14.45,0,0,0,0
XBB.TO,1.05,1.02,1,6.36,6.04,5.04,-1.1,-0.24,0.08,-6.73,-1.61,0.29
HISA.NE,0,0,0,0.56,0,0,12.61,0,0,0,0,0
FCLC.NE,0,0,0,0,0,0,0,0,0,0,0,0
XUS-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
XUS.TO,0.98,0.96,0.97,14.27,14.57,12.37,0.63,0.65,1.07,8.61,9.24,13.78
RNAV.NE,0,0,0,0,0,0,0,0,0,0,0,0
VAB.TO,1.05,1.01,1,6.36,5.98,5.05,-1.11,-0.25,0.08,-6.78,-1.67,0.3
VGRO.TO,1.06,1.1,0,11.29,12.08,0,0.35,0.37,0,3.22,3.6,0
ZEB.TO,0.98,1.01,0.83,17.62,19,15.71,0.66,0.28,0.54,11.17,3.57,9.17
CASH.TO,0,0,0,0,0,0,0,0,0,0,0,0
HBB.TO,1.06,1,0,6.41,5.96,0,-1.12,-0.3,0,-6.85,-1.94,0
VIU.TO,1.02,1.02,0,14.42,13.7,0,0.3,0.21,0,3.38,1.98,0
HXT-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
HXT.TO,1,0.94,0.94,14.09,15.4,12.03,0.62,0.45,0.61,8.19,6.43,7.32
ZLB.TO,0.72,0.71,0.66,11.61,12.92,10.22,0.66,0.56,0.88,10.47,9.6,13.5
VEQT.TO,0.98,0,0,12.96,0,0,0.53,0,0,6.44,0,0
ZCPB.TO,0.94,0.97,0,5.76,5.78,0,-1.24,-0.28,0,-7.58,-1.86,0
ZMU.TO,0.86,0.79,0.46,7.79,8.01,6.27,-0.87,-0.1,0.15,-8.08,-1.42,1.68
IGAF.TO,1.15,0,0,13.3,0,0,0.06,0,0,-0.02,0,0
FCGC.NE,0,0,0,0,0,0,0,0,0,0,0,0
XSEM.TO,1.1,0,0,15.53,0,0,-0.23,0,0,-4.28,0,0
ZFL.TO,1.14,1.01,1.02,13.35,12.3,10.45,-1.17,-0.37,-0.05,-13.61,-5.15,-1.08
VSP.TO,1.18,1.21,1.02,17.92,19.06,15.02,0.46,0.42,0.67,6.03,5.43,9.28
NUBF.TO,0.35,0,0,5.21,0,0,-0.48,0,0,-7.62,0,0
VBAL.TO,1.14,1.19,0,9.64,9.98,0,0.12,0.29,0,0.6,2.09,0
XSB.TO,1.09,1.07,1.05,2.49,2.27,1.87,-1.27,-0.26,0.02,-2.88,-0.57,0.01
HSAV.TO,0,0,0,0.55,0,0,12.14,0,0,0,0,0
HXS.TO,0.95,0.97,0.98,13.87,14.63,12.56,0.66,0.65,1.06,9.05,9.28,13.6
HXS-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
XQQ.TO,1.43,1.37,1.21,22.55,22.54,18.17,0.38,0.59,0.86,4.48,8.35,12.41
VDY.TO,1.03,0.92,0.93,15.81,16.69,13.21,0.89,0.46,0.55,13.69,7.08,7.19
XEQT.TO,1,0,0,13.16,0,0,0.52,0,0,6.23,0,0
FLCP.TO,1.03,0,0,6.27,0,0,-0.98,0,0,-6.03,0,0
ZUE.TO,1.18,1.21,1.02,17.9,18.99,14.97,0.46,0.42,0.67,5.92,5.38,9.24
XEG.TO,1.01,1.07,1.04,34.68,42.17,33,1.58,0.42,0.23,62.66,8.31,1.78
NSCE.TO,0.76,0,0,11.79,0,0,0.69,0,0,10.38,0,0
TCLB.TO,0.97,0,0,11.48,0,0,-1.14,0,0,-13.41,0,0
XGRO.TO,1.07,1.08,0.99,11.4,11.88,9.48,0.37,0.4,0.6,3.48,3.86,5.51
VEE.TO,0.96,0.98,0.98,13.52,14.52,13.32,-0.09,0.13,0.34,-2.2,0.86,3.75
ESGY.TO,0.97,0,0,14.3,0,0,0.67,0,0,9.38,0,0
ESGY-F.TO,0,0,0,0,0,0,0,0,0,0,0,0
XCB.TO,1.02,0.96,0.96,5.51,5.98,4.74,-0.91,-0.09,0.2,-4.94,-0.75,0.91
ZWU.TO,0.63,0.71,0.54,12.38,13.57,10.96,0.03,0.13,0.25,-0.52,1.22,4.05
NSCB.TO,0.97,0,0,5.89,0,0,-1.12,0,0,-6.88,0,0
ZWC.TO,0.88,0.88,0,12.75,14.93,0,0.62,0.24,0,8.69,2.82,0
ZQQ.TO,1.43,1.37,1.21,22.62,22.56,18.17,0.38,0.58,0.85,4.42,8.29,12.39
VXC.TO,0.99,1.01,0,12.94,13.74,0,0.47,0.45,0,5.5,5.37,0
XDV.TO,0.95,0.88,0.88,14.62,15.7,12.65,0.63,0.34,0.4,9.29,4.9,5.01
ZST-L.TO,0.06,0.1,0,0.64,0.58,0,-0.2,0.98,0,-0.78,3.86,0
ZST.TO,0.06,0.1,0.05,0.64,0.59,0.54,-0.2,0.95,1.1,-0.79,3.8,10.64
XEI.TO,1.02,1.03,1.02,15.55,18.06,14.03,0.88,0.4,0.42,13.4,5.67,4.99
VCE.TO,1,0.94,0.94,14.07,15.41,12.07,0.66,0.47,0.6,8.82,6.67,7.14
TTP.TO,1,0.99,0,13.98,16.09,0,0.64,0.42,0,8.52,5.76,0
ZCS-L.TO,1.1,1.14,0,2.64,2.84,0,-0.99,0,0,-2.35,-0.02,0
ZCS.TO,1.1,1.14,1.09,2.64,2.84,2.23,-0.99,0,0.3,-2.36,-0.02,0.6
REMD.NE,0,0,0,0,0,0,0,0,0,0,0,0
XIN.TO,0.89,1.01,0.88,13.81,14.97,12.61,0.73,0.36,0.5,10.92,4.36,6.4
XFN.TO,1,1.01,0.84,17.12,18.21,14.65,0.67,0.31,0.54,10.86,4.15,8.58
HXCN.TO,1,0,0,13.97,0,0,0.61,0,0,8.02,0,0
ZEM.TO,1.08,1.05,1.04,14.82,15.38,13.73,-0.16,0.07,0.3,-3.13,-0.11,3.17
QCN.TO,1,0.99,0,13.97,16.06,0,0.64,0.42,0,8.52,5.77,0
CACB.TO,1.03,0,0,5.58,0,0,-0.85,0,0,-4.7,0,0
RIIN.TO,0.91,0,0,12.03,0,0,0.42,0,0,5.08,0,0
TPE.TO,0.99,0.98,0,13.97,13.24,0,0.35,0.24,0,4.18,2.45,0
VSB.TO,1.05,1.04,1.02,2.4,2.2,1.82,-1.28,-0.25,0.03,-2.9,-0.57,0.03
VGG.TO,0.77,0.79,0.84,12.4,12.79,11.44,0.59,0.66,1.03,8.86,10.18,14.18
NHYB.TO,0.89,0,0,7.83,0,0,-0.05,0,0,-0.77,0,0
XSH.TO,1.11,1.15,1.1,2.65,2.86,2.24,-0.99,0.01,0.32,-2.34,0,0.64
ZMMK.TO,0,0,0,0,0,0,0,0,0,0,0,0
XFH.TO,0.86,1.01,0,13.3,15.03,0,0.77,0.39,0,11.66,4.82,0
TDB.TO,1,0.97,0,6.09,5.76,0,-1.12,-0.26,0,-6.85,-1.71,0
NREA.TO,0.92,0,0,13.12,0,0,0.34,0,0,4.07,0,0
XBAL.TO,1.14,1.16,1.01,9.68,9.75,7.5,0.18,0.37,0.54,1.11,2.78,3.82
ZGB.TO,1.1,1.04,0,6.67,6.22,0,-1.17,-0.29,0,-7.13,-1.92,0
ZFM.TO,1.16,0.97,0.98,7.26,6.51,5.47,-1.1,-0.31,-0.06,-6.91,-2.33,-0.48
